Start Date,End Date,Campaign Name,Reach,Frequency,Impressions,Clicks,Unique Clicks,Amount Spent (USD),Page Likes,Page Engagement,Post Engagement,Post Likes,Post Comments,Post Shares,Photo Views,Website Clicks,Cost per Page Engagement (USD)
10/22/13,10/22/13,Nanigans_5_710,282,1.003546,283,1,0,0.91,0,0,0,0,0,0,0,0,0
10/22/13,10/22/13,Nanigans_6_715,824,1.004854,828,0,0,0,0,0,0,0,0,0,0,0,0
10/22/13,10/22/13,Nanigans_6_713,11695,1,11695,39,35,89.1,1,36,35,1,1,0,0,33,2.475
10/22/13,10/22/13,Nanigans_6_717,515,1,515,0,0,0,0,0,0,0,0,0,0,0,0
10/22/13,10/22/13,Nanigans_5_706,529,1.011342,535,0,0,1.72,0,0,0,0,0,0,0,0,0
10/22/13,10/22/13,Nanigans_5_702,801,1.007491,807,1,1,2.4,0,1,1,1,0,0,0,0,2.4
10/22/13,10/22/13,Nanigans_5_711,4988,1.007618,5026,3,2,15.7,0,0,0,0,0,0,0,0,0
10/22/13,10/22/13,Nanigans_6_716,2131,1.005162,2142,7,6,20,1,7,6,1,0,0,0,5,2.857143
10/22/13,10/22/13,Nanigans_6_718,185,1,185,1,0,2.9,1,1,0,0,0,0,0,0,2.9
10/21/13,10/21/13,Nanigans_5_710,477,1.014675,484,0,0,1.49,0,0,0,0,0,0,0,0,0
10/21/13,10/21/13,Nanigans_5_707,78,1.012821,79,1,1,0.23,0,1,1,0,0,0,0,1,0.23
10/21/13,10/21/13,Nanigans_5_706,6816,1.001027,6823,5,5,22.1,0,3,3,0,0,0,0,3,7.366667
10/21/13,10/21/13,Nanigans_5_709,104,1.009615,105,1,1,0.31,0,0,0,0,0,0,0,0,0
10/21/13,10/21/13,Nanigans_6_714,90,1,90,0,0,0,0,0,0,0,0,0,0,0,0
10/21/13,10/21/13,Nanigans_5_711,6536,1.0153,6636,4,4,20.84,0,3,3,0,0,0,0,3,6.946667
10/21/13,10/21/13,Nanigans_5_712,6253,1.027347,6424,3,3,19.99,0,3,3,0,0,0,0,3,6.663333
10/21/13,10/21/13,Nanigans_5_704,3759,1.011439,3802,4,4,11.85,0,4,4,0,0,0,0,4,2.9625
10/21/13,10/21/13,Nanigans_6_715,681,1.004405,684,1,1,1.77,0,1,1,0,0,0,0,1,1.77
10/21/13,10/21/13,Nanigans_5_701,4199,1.007145,4229,0,0,13.26,0,0,0,0,0,0,0,0,0
10/21/13,10/21/13,Nanigans_5_708,206,1.009709,208,0,0,0.64,0,0,0,0,0,0,0,0,0
10/21/13,10/21/13,Nanigans_6_716,261,1,261,1,1,1.75,1,1,0,0,0,0,0,0,1.75
10/21/13,10/21/13,Nanigans_6_717,600,1.001667,601,0,0,0,0,0,0,0,0,0,0,0,0
10/21/13,10/21/13,Nanigans_5_703,5249,1.015622,5331,3,3,16.84,0,3,3,0,0,0,0,3,5.613333
10/21/13,10/21/13,Nanigans_6_718,422,1,422,0,0,0,0,0,0,0,0,0,0,0,0
10/21/13,10/21/13,Nanigans_5_705,4494,1.008233,4531,1,1,14.18,0,0,0,0,0,0,0,0,0
10/21/13,10/21/13,Nanigans_5_702,306,1.013072,310,0,0,0.93,0,0,0,0,0,0,0,0,0
10/21/13,10/21/13,Nanigans_6_713,6658,1,6658,19,18,33.22,1,17,16,0,0,0,0,16,1.954118
10/20/13,10/20/13,Nanigans_5_710,119,1.016807,121,1,1,0.36,0,1,1,0,0,0,0,1,0.36
10/20/13,10/20/13,Nanigans_5_705,5469,1.013348,5542,4,4,17.87,1,3,2,0,0,0,0,2,5.956667
10/20/13,10/20/13,Nanigans_6_713,7517,1,7517,19,19,29.65,2,17,15,2,0,0,0,13,1.744118
10/20/13,10/20/13,Nanigans_5_712,4047,1.011614,4094,3,3,13.14,0,2,2,0,0,0,0,2,6.57
10/20/13,10/20/13,Nanigans_5_701,3134,1.007339,3157,0,0,10.06,0,0,0,0,0,0,0,0,0
10/20/13,10/20/13,Nanigans_5_709,81,1,81,0,0,0.26,0,0,0,0,0,0,0,0,0
10/20/13,10/20/13,Nanigans_6_717,369,1.00542,371,0,0,0,0,0,0,0,0,0,0,0,0
10/20/13,10/20/13,Nanigans_5_704,265,1.011321,268,2,2,0.84,0,2,2,0,0,0,0,2,0.42
10/20/13,10/20/13,Nanigans_6_718,647,1.001546,648,0,0,0,0,0,0,0,0,0,0,0,0
10/20/13,10/20/13,Nanigans_5_706,7688,1.009235,7759,5,5,25.19,0,3,3,0,1,0,0,2,8.396667
10/20/13,10/20/13,Nanigans_6_716,852,1.007042,858,0,0,0,0,0,0,0,0,0,0,0,0
10/20/13,10/20/13,Nanigans_5_711,5164,1.005422,5192,4,3,16.66,0,4,4,1,0,0,0,3,4.165
10/20/13,10/20/13,Nanigans_5_708,158,1.012658,160,0,0,0.51,0,0,0,0,0,0,0,0,0
10/20/13,10/20/13,Nanigans_5_702,78,1,78,0,0,0.22,0,0,0,0,0,0,0,0,0
10/20/13,10/20/13,Nanigans_5_707,37,1,37,0,0,0.12,0,0,0,0,0,0,0,0,0
10/20/13,10/20/13,Nanigans_5_703,737,1.009498,744,2,2,2.28,0,2,2,0,0,0,0,2,1.14
10/20/13,10/20/13,Nanigans_6_714,275,1.003636,276,0,0,0,0,0,0,0,0,0,0,0,0
10/20/13,10/20/13,Nanigans_6_715,114,1,114,0,0,0,0,0,0,0,0,0,0,0,0
10/19/13,10/19/13,Nanigans_5_712,2911,1.01271,2948,5,5,8.98,0,4,4,0,0,0,0,4,2.245
10/19/13,10/19/13,Nanigans_5_705,5303,1.001697,5312,9,9,16.99,1,8,7,0,0,0,1,6,2.12375
10/19/13,10/19/13,Nanigans_5_703,707,1.011315,715,0,0,2.19,0,0,0,0,0,0,0,0,0
10/19/13,10/19/13,Nanigans_5_704,171,1,171,0,0,0.55,0,0,0,0,0,0,0,0,0
10/19/13,10/19/13,Nanigans_5_702,41,1,41,0,0,0.14,0,0,0,0,0,0,0,0,0
10/19/13,10/19/13,Nanigans_6_715,51,1,51,0,0,0,0,0,0,0,0,0,0,0,0
10/19/13,10/19/13,Nanigans_6_718,247,1,247,0,0,0,0,0,0,0,0,0,0,0,0
10/19/13,10/19/13,Nanigans_6_716,234,1,234,0,0,0,0,0,0,0,0,0,0,0,0
10/19/13,10/19/13,Nanigans_5_707,60,1.033333,62,0,0,0.2,0,0,0,0,0,0,0,0,0
10/19/13,10/19/13,Nanigans_5_711,5849,1.005984,5884,5,5,18.42,2,5,3,0,0,0,0,3,3.684
10/19/13,10/19/13,Nanigans_6_713,5344,1.003555,5363,24,24,37.4,2,24,22,5,0,0,0,17,1.558333
10/19/13,10/19/13,Nanigans_5_710,104,1.019231,106,0,0,0.33,0,0,0,0,0,0,0,0,0
10/19/13,10/19/13,Nanigans_5_706,7558,1.018259,7696,6,6,24.24,1,7,6,0,0,0,0,6,3.462857
10/19/13,10/19/13,Nanigans_5_709,46,1,46,0,0,0.13,0,0,0,0,0,0,0,0,0
10/19/13,10/19/13,Nanigans_6_714,181,1.005525,182,0,0,0,0,0,0,0,0,0,0,0,0
10/19/13,10/19/13,Nanigans_6_717,117,1,117,1,1,0.64,0,1,1,0,0,0,0,1,0.64
10/19/13,10/19/13,Nanigans_5_708,216,1.013889,219,0,0,0.61,0,0,0,0,0,0,0,0,0
10/19/13,10/19/13,Nanigans_5_701,3231,1.007738,3256,1,1,10.28,0,1,1,0,0,0,0,1,10.28
10/18/13,10/18/13,Nanigans_6_718,346,1.00289,347,0,0,0,0,0,0,0,0,0,0,0,0
10/18/13,10/18/13,Nanigans_5_703,1576,1.015863,1601,1,1,4.96,0,0,0,0,0,0,0,0,0
10/18/13,10/18/13,Nanigans_5_704,1076,1.009294,1086,0,0,2.98,0,0,0,0,0,0,0,0,0
10/18/13,10/18/13,Nanigans_5_701,3336,1.010192,3370,2,2,10.14,0,0,0,0,0,0,0,0,0
10/18/13,10/18/13,Nanigans_6_713,699,1.017167,711,1,1,1.75,0,1,1,0,0,0,0,1,1.75
10/18/13,10/18/13,Nanigans_6_716,355,1.014085,360,0,0,0,0,0,0,0,0,0,0,0,0
10/18/13,10/18/13,Nanigans_5_711,7217,1.00291,7238,4,4,21.47,0,2,2,0,0,0,0,2,10.735
10/18/13,10/18/13,Nanigans_6_714,273,1.018315,278,0,0,0,0,0,0,0,0,0,0,0,0
10/18/13,10/18/13,Nanigans_5_702,100,1.02,102,0,0,0.29,0,0,0,0,0,0,0,0,0
10/18/13,10/18/13,Nanigans_6_717,77,1.025974,79,0,0,0,0,0,0,0,0,0,0,0,0
10/18/13,10/18/13,Nanigans_6_715,72,1,72,0,0,0,0,0,0,0,0,0,0,0,0
10/18/13,10/18/13,Nanigans_5_706,7488,1.014156,7594,4,4,23.25,0,3,3,0,0,0,0,3,7.75
10/18/13,10/18/13,Nanigans_5_710,258,1.011628,261,0,0,0.75,0,0,0,0,0,0,0,0,0
10/18/13,10/18/13,Nanigans_5_707,67,1,67,0,0,0.19,0,0,0,0,0,0,0,0,0
10/18/13,10/18/13,Nanigans_5_712,2591,1.01235,2623,2,2,7.52,0,2,2,0,0,0,0,2,3.76
10/18/13,10/18/13,Nanigans_5_709,102,1,102,0,0,0.28,0,0,0,0,0,0,0,0,0
10/18/13,10/18/13,Nanigans_5_708,313,1.009585,316,1,1,0.84,0,1,1,0,0,0,0,1,0.84
10/18/13,10/18/13,Nanigans_5_705,5386,1.015782,5471,5,5,16.73,0,3,3,0,0,0,0,3,5.576667
10/17/13,10/17/13,Nanigans_5_711,3339,1.00599,3359,1,1,7.46,0,1,1,0,0,0,0,1,7.46
10/17/13,10/17/13,Nanigans_5_710,989,1.005056,994,0,0,2.17,0,0,0,0,0,0,0,0,0
10/17/13,10/17/13,Nanigans_5_706,2466,1.010949,2493,0,0,5.63,0,0,0,0,0,0,0,0,0
10/17/13,10/17/13,Nanigans_5_712,2720,1.008088,2742,1,1,5.99,0,1,1,0,0,0,0,1,5.99
10/17/13,10/17/13,Nanigans_5_709,344,1.008721,347,0,0,0.71,0,0,0,0,0,0,0,0,0
10/17/13,10/17/13,Nanigans_5_701,1276,1.002351,1279,2,2,2.31,0,1,1,0,0,0,0,1,2.31
10/17/13,10/17/13,Nanigans_5_704,1254,1.007974,1264,0,0,2.78,0,0,0,0,0,0,0,0,0
10/17/13,10/17/13,Nanigans_5_702,2942,1.004419,2955,12,9,24.25,3,13,10,0,1,0,0,9,1.865385
10/17/13,10/17/13,Nanigans_5_703,708,1.008475,714,0,0,1.33,0,0,0,0,0,0,0,0,0
10/17/13,10/17/13,Nanigans_5_705,4006,1.010484,4048,6,6,14.7,0,6,6,0,0,0,0,6,2.45
10/17/13,10/17/13,Nanigans_5_707,497,1.004024,499,0,0,0.63,0,0,0,0,0,0,0,0,0
10/17/13,10/17/13,Nanigans_5_708,953,1.005247,958,0,0,1.98,0,0,0,0,0,0,0,0,0
10/16/13,10/16/13,Nanigans_5_709,99,1.010101,100,0,0,0,0,0,0,0,0,0,0,0,0
10/16/13,10/16/13,Nanigans_5_705,1284,1.011682,1299,0,0,0,0,0,0,0,0,0,0,0,0
10/16/13,10/16/13,Nanigans_5_708,176,1.011364,178,0,0,0,0,0,0,0,0,0,0,0,0
10/16/13,10/16/13,Nanigans_5_712,273,1.003663,274,0,0,0,0,0,0,0,0,0,0,0,0
10/16/13,10/16/13,Nanigans_5_710,171,1.005848,172,0,0,0,0,0,0,0,0,0,0,0,0
10/16/13,10/16/13,Nanigans_5_711,287,1.006969,289,0,0,0,0,0,0,0,0,0,0,0,0
10/16/13,10/16/13,Nanigans_5_701,538,1.001859,539,2,2,2.3,0,3,3,0,0,0,0,3,0.766667
10/16/13,10/16/13,Nanigans_5_707,128,1.023438,131,1,1,1.92,0,1,1,0,0,0,0,1,1.92
10/16/13,10/16/13,Nanigans_5_703,402,1.012438,407,1,1,1.21,0,1,1,0,0,0,0,1,1.21
10/16/13,10/16/13,Nanigans_5_702,1910,1.008377,1926,14,14,28.16,0,12,12,0,0,0,0,12,2.346667
10/16/13,10/16/13,Nanigans_5_706,178,1,178,0,0,0,0,0,0,0,0,0,0,0,0
10/16/13,10/16/13,Nanigans_5_704,179,1.005587,180,0,0,0,0,0,0,0,0,0,0,0,0
10/15/13,10/15/13,Nanigans_5_712,108,1.009259,109,0,0,0,0,0,0,0,0,0,0,0,0
10/15/13,10/15/13,Nanigans_5_707,33,1,33,0,0,0,0,0,0,0,0,0,0,0,0
10/15/13,10/15/13,Nanigans_5_702,53,1,53,0,0,0,0,0,0,0,0,0,0,0,0
10/15/13,10/15/13,Nanigans_5_710,58,1,58,0,0,0,0,0,0,0,0,0,0,0,0
10/15/13,10/15/13,Nanigans_5_709,33,1,33,0,0,0,0,0,0,0,0,0,0,0,0
10/15/13,10/15/13,Nanigans_5_703,33,1,33,0,0,0,0,0,0,0,0,0,0,0,0
10/15/13,10/15/13,Nanigans_5_708,67,1,67,0,0,0,0,0,0,0,0,0,0,0,0
10/15/13,10/15/13,Nanigans_5_706,79,1,79,0,0,0,0,0,0,0,0,0,0,0,0
10/15/13,10/15/13,Nanigans_5_705,354,1.011299,358,3,3,3.69,0,3,3,0,0,0,0,3,1.23
10/15/13,10/15/13,Nanigans_5_711,102,1.019608,104,0,0,0,0,0,0,0,0,0,0,0,0
10/15/13,10/15/13,Nanigans_5_704,75,1.026667,77,0,0,0,0,0,0,0,0,0,0,0,0
10/15/13,10/15/13,Nanigans_5_701,49,1.040816,51,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Simple_Multi_Fill_Campaign_2_627,249,1.008032,251,1,1,1.42,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_662,1959,1.008167,1975,5,3,5.96,1,4,3,1,0,0,0,2,1.49
10/3/13,10/3/13,Nanigans_2_661,92,1,92,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_664,823,1.00486,827,4,4,4.14,1,6,5,2,0,0,1,2,0.69
10/3/13,10/3/13,Simple_Multi_Fill_Campaign_2_626,32,1,32,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_638,99,1,99,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_654,1440,1.004861,1447,4,4,5.51,0,5,5,0,0,1,2,2,1.102
10/3/13,10/3/13,Nanigans_2_660,3207,1.002806,3216,21,17,24.67,3,13,10,1,0,0,0,9,1.897692
10/3/13,10/3/13,Simple_Multi_Fill_Campaign_2_625,51,1,51,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_651,4327,1.003235,4341,28,23,35.47,6,27,21,3,0,1,2,15,1.313704
10/3/13,10/3/13,Nanigans_2_655,314,1.006369,316,3,2,3.45,2,3,1,0,0,0,0,1,1.15
10/3/13,10/3/13,Nanigans_2_653,315,1.003175,316,1,1,1.35,0,1,1,1,0,0,0,0,1.35
10/3/13,10/3/13,Simple_Multi_Fill_Campaign_1_336,166,1,166,1,1,1.44,0,1,1,0,0,0,0,1,1.44
10/3/13,10/3/13,Nanigans_2_663,73,1,73,1,1,1.3,1,1,0,0,0,0,0,0,1.3
10/3/13,10/3/13,Nanigans_2_640,1211,1.00578,1218,15,15,17.6,7,15,8,5,0,0,1,2,1.173333
10/3/13,10/3/13,Nanigans_2_656,1568,1.003827,1574,11,10,14.47,3,10,7,1,0,0,1,5,1.447
10/3/13,10/3/13,Simple_Multi_Fill_Campaign_2_631,338,1.002959,339,5,5,6.73,2,2,0,0,0,0,0,0,3.365
10/3/13,10/3/13,Nanigans_2_644,15,1.066667,16,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_683,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Simple_Multi_Fill_Campaign_2_634,137,1,137,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_682,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_684,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_687,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_685,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_690,17,1,17,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_692,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_693,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_699,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_688,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_669,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_691,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_686,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_639,222,1,222,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_652,215,1,215,1,1,1.39,0,1,1,0,0,0,0,1,1.39
10/3/13,10/3/13,Nanigans_2_647,864,1.001157,865,10,10,12.45,3,7,4,2,0,0,0,2,1.778571
10/3/13,10/3/13,Nanigans_2_642,107,1.009346,108,0,0,0,0,0,0,0,0,0,0,0,0
10/3/13,10/3/13,Nanigans_2_643,1106,1.008137,1115,7,5,8.45,1,6,5,3,0,0,0,2,1.408333
10/3/13,10/3/13,Nanigans_2_648,1690,1.002959,1695,16,15,18.28,4,19,15,2,0,0,2,11,0.962105
